Date,Severity,Crashes
1/1/2009,Property Damage Only,66
1/1/2009,Minor Injury,10
1/1/2009,Major Injury,2
1/1/2009,Possible/Unknown,7
1/2/2009,Property Damage Only,85
1/2/2009,Minor Injury,8
1/2/2009,Major Injury,1
1/2/2009,Possible/Unknown,17
1/3/2009,Property Damage Only,279
1/3/2009,Minor Injury,36
1/3/2009,Major Injury,5
1/3/2009,Fatal,3
1/3/2009,Possible/Unknown,62
1/4/2009,Property Damage Only,138
1/4/2009,Minor Injury,20
1/4/2009,Major Injury,3
1/4/2009,Fatal,2
1/4/2009,Possible/Unknown,27
1/5/2009,Property Damage Only,130
1/5/2009,Minor Injury,10
1/5/2009,Major Injury,3
1/5/2009,Fatal,1
1/5/2009,Possible/Unknown,25
1/6/2009,Property Damage Only,82
1/6/2009,Minor Injury,13
1/6/2009,Major Injury,2
1/6/2009,Fatal,1
1/6/2009,Possible/Unknown,17
1/7/2009,Property Damage Only,79
1/7/2009,Minor Injury,10
1/7/2009,Major Injury,1
1/7/2009,Possible/Unknown,12
1/8/2009,Property Damage Only,117
1/8/2009,Minor Injury,5
1/8/2009,Major Injury,5
1/8/2009,Fatal,1
1/8/2009,Possible/Unknown,12
1/9/2009,Property Damage Only,173
1/9/2009,Minor Injury,19
1/9/2009,Major Injury,1
1/9/2009,Fatal,1
1/9/2009,Possible/Unknown,31
1/10/2009,Property Damage Only,180
1/10/2009,Minor Injury,10
1/10/2009,Major Injury,3
1/10/2009,Fatal,1
1/10/2009,Possible/Unknown,30
1/11/2009,Property Damage Only,113
1/11/2009,Minor Injury,18
1/11/2009,Major Injury,1
1/11/2009,Possible/Unknown,28
1/12/2009,Property Damage Only,296
1/12/2009,Minor Injury,34
1/12/2009,Major Injury,3
1/12/2009,Fatal,1
1/12/2009,Possible/Unknown,41
1/13/2009,Property Damage Only,229
1/13/2009,Minor Injury,17
1/13/2009,Major Injury,1
1/13/2009,Fatal,2
1/13/2009,Possible/Unknown,37
1/14/2009,Property Damage Only,370
1/14/2009,Minor Injury,22
1/14/2009,Major Injury,3
1/14/2009,Possible/Unknown,52
1/15/2009,Property Damage Only,287
1/15/2009,Minor Injury,16
1/15/2009,Major Injury,5
1/15/2009,Fatal,1
1/15/2009,Possible/Unknown,44
1/16/2009,Property Damage Only,299
1/16/2009,Minor Injury,18
1/16/2009,Major Injury,6
1/16/2009,Possible/Unknown,40
1/17/2009,Property Damage Only,298
1/17/2009,Minor Injury,36
1/17/2009,Major Injury,2
1/17/2009,Fatal,4
1/17/2009,Possible/Unknown,52
1/18/2009,Property Damage Only,132
1/18/2009,Minor Injury,10
1/18/2009,Major Injury,3
1/18/2009,Possible/Unknown,28
1/19/2009,Property Damage Only,121
1/19/2009,Minor Injury,7
1/19/2009,Major Injury,3
1/19/2009,Possible/Unknown,15
1/20/2009,Property Damage Only,126
1/20/2009,Minor Injury,14
1/20/2009,Major Injury,2
1/20/2009,Possible/Unknown,33
1/21/2009,Property Damage Only,120
1/21/2009,Minor Injury,4
1/21/2009,Major Injury,3
1/21/2009,Possible/Unknown,17
1/22/2009,Property Damage Only,133
1/22/2009,Minor Injury,12
1/22/2009,Major Injury,3
1/22/2009,Possible/Unknown,24
1/23/2009,Property Damage Only,127
1/23/2009,Minor Injury,13
1/23/2009,Major Injury,2
1/23/2009,Possible/Unknown,23
1/24/2009,Property Damage Only,103
1/24/2009,Minor Injury,9
1/24/2009,Major Injury,3
1/24/2009,Fatal,1
1/24/2009,Possible/Unknown,14
1/25/2009,Property Damage Only,173
1/25/2009,Minor Injury,9
1/25/2009,Possible/Unknown,20
1/26/2009,Property Damage Only,125
1/26/2009,Minor Injury,11
1/26/2009,Major Injury,1
1/26/2009,Possible/Unknown,23
1/27/2009,Property Damage Only,125
1/27/2009,Minor Injury,7
1/27/2009,Major Injury,2
1/27/2009,Fatal,2
1/27/2009,Possible/Unknown,26
1/28/2009,Property Damage Only,128
1/28/2009,Minor Injury,10
1/28/2009,Major Injury,3
1/28/2009,Fatal,1
1/28/2009,Possible/Unknown,22
1/29/2009,Property Damage Only,162
1/29/2009,Minor Injury,21
1/29/2009,Major Injury,4
1/29/2009,Fatal,2
1/29/2009,Possible/Unknown,43
1/30/2009,Property Damage Only,147
