Date,Year,Total_Crashes
1/1/2009,2009,85
1/2/2009,2009,111
1/3/2009,2009,385
1/4/2009,2009,190
1/5/2009,2009,169
1/6/2009,2009,115
1/7/2009,2009,102
1/8/2009,2009,140
1/9/2009,2009,225
1/10/2009,2009,224
1/11/2009,2009,160
1/12/2009,2009,375
1/13/2009,2009,286
1/14/2009,2009,447
1/15/2009,2009,353
1/16/2009,2009,363
1/17/2009,2009,392
1/18/2009,2009,173
1/19/2009,2009,146
1/20/2009,2009,175
1/21/2009,2009,144
1/22/2009,2009,172
1/23/2009,2009,165
1/24/2009,2009,130
1/25/2009,2009,202
1/26/2009,2009,160
1/27/2009,2009,162
1/28/2009,2009,164
1/29/2009,2009,232
1/30/2009,2009,186
1/31/2009,2009,145
2/1/2009,2009,98
2/2/2009,2009,110
2/3/2009,2009,141
2/4/2009,2009,117
2/5/2009,2009,119
2/6/2009,2009,185
2/7/2009,2009,149
2/8/2009,2009,80
2/9/2009,2009,129
2/10/2009,2009,119
2/11/2009,2009,91
2/12/2009,2009,124
2/13/2009,2009,586
2/14/2009,2009,160
2/15/2009,2009,85
2/16/2009,2009,100
2/17/2009,2009,104
2/18/2009,2009,83
2/19/2009,2009,120
2/20/2009,2009,174
2/21/2009,2009,194
2/22/2009,2009,99
2/23/2009,2009,114
2/24/2009,2009,113
2/25/2009,2009,158
2/26/2009,2009,124
2/27/2009,2009,150
2/28/2009,2009,135
3/1/2009,2009,61
3/2/2009,2009,110
3/3/2009,2009,85
3/4/2009,2009,103
3/5/2009,2009,144
3/6/2009,2009,143
3/7/2009,2009,99
3/8/2009,2009,144
3/9/2009,2009,97
3/10/2009,2009,151
3/11/2009,2009,115
3/12/2009,2009,115
3/13/2009,2009,104
3/14/2009,2009,118
3/15/2009,2009,92
3/16/2009,2009,114
3/17/2009,2009,133
3/18/2009,2009,113
3/19/2009,2009,120
3/20/2009,2009,111
3/21/2009,2009,97
3/22/2009,2009,59
3/23/2009,2009,96
3/24/2009,2009,131
3/25/2009,2009,94
3/26/2009,2009,93
3/27/2009,2009,101
3/28/2009,2009,201
3/29/2009,2009,95
3/30/2009,2009,131
3/31/2009,2009,82
4/1/2009,2009,115
4/2/2009,2009,116
