Date of Crash,Crash Severity,Crashes
01/01/2009,Property Damage Only,66
01/01/2009,Minor Injury,10
01/01/2009,Possible/Unknown,7
01/01/2009,Major Injury,2
01/02/2009,Minor Injury,8
01/02/2009,Possible/Unknown,17
01/02/2009,Major Injury,1
01/02/2009,Property Damage Only,85
01/03/2009,Minor Injury,36
01/03/2009,Fatal,3
01/03/2009,Major Injury,5
01/03/2009,Property Damage Only,279
01/03/2009,Possible/Unknown,62
01/04/2009,Property Damage Only,138
01/04/2009,Minor Injury,20
01/04/2009,Major Injury,3
01/04/2009,Possible/Unknown,27
01/04/2009,Fatal,2
01/05/2009,Property Damage Only,130
01/05/2009,Possible/Unknown,25
01/05/2009,Fatal,1
01/05/2009,Minor Injury,10
01/05/2009,Major Injury,3
01/06/2009,Possible/Unknown,17
01/06/2009,Major Injury,2
01/06/2009,Property Damage Only,82
01/06/2009,Minor Injury,13
01/06/2009,Fatal,1
01/07/2009,Property Damage Only,79
01/07/2009,Major Injury,1
01/07/2009,Possible/Unknown,12
01/07/2009,Minor Injury,10
01/08/2009,Possible/Unknown,12
01/08/2009,Major Injury,5
01/08/2009,Property Damage Only,117
01/08/2009,Minor Injury,5
01/08/2009,Fatal,1
01/09/2009,Property Damage Only,173
01/09/2009,Possible/Unknown,31
01/09/2009,Major Injury,1
01/09/2009,Fatal,1
01/09/2009,Minor Injury,19
01/10/2009,Fatal,1
01/10/2009,Minor Injury,10
01/10/2009,Possible/Unknown,30
01/10/2009,Property Damage Only,180
01/10/2009,Major Injury,3
01/11/2009,Property Damage Only,113
01/11/2009,Major Injury,1
01/11/2009,Minor Injury,18
01/11/2009,Possible/Unknown,28
01/12/2009,Property Damage Only,296
01/12/2009,Possible/Unknown,41
01/12/2009,Fatal,1
01/12/2009,Minor Injury,34
01/12/2009,Major Injury,3
01/13/2009,Fatal,2
01/13/2009,Possible/Unknown,37
01/13/2009,Property Damage Only,229
01/13/2009,Major Injury,1
01/13/2009,Minor Injury,17
01/14/2009,Minor Injury,22
01/14/2009,Possible/Unknown,52
01/14/2009,Major Injury,3
01/14/2009,Property Damage Only,370
01/15/2009,Fatal,1
01/15/2009,Major Injury,5
01/15/2009,Property Damage Only,287
01/15/2009,Possible/Unknown,44
01/15/2009,Minor Injury,16
01/16/2009,Minor Injury,18
01/16/2009,Possible/Unknown,40
01/16/2009,Property Damage Only,299
01/16/2009,Major Injury,6
01/17/2009,Property Damage Only,298
01/17/2009,Major Injury,2
01/17/2009,Minor Injury,36
01/17/2009,Possible/Unknown,52
01/17/2009,Fatal,4
01/18/2009,Property Damage Only,132
01/18/2009,Possible/Unknown,28
01/18/2009,Major Injury,3
01/18/2009,Minor Injury,10
01/19/2009,Property Damage Only,121
01/19/2009,Possible/Unknown,15
01/19/2009,Major Injury,3
01/19/2009,Minor Injury,7
01/20/2009,Possible/Unknown,33
01/20/2009,Property Damage Only,126
01/20/2009,Major Injury,2
01/20/2009,Minor Injury,14
01/21/2009,Major Injury,3
01/21/2009,Property Damage Only,120
01/21/2009,Possible/Unknown,17
01/21/2009,Minor Injury,4
01/22/2009,Possible/Unknown,24
01/22/2009,Property Damage Only,133
01/22/2009,Major Injury,3
01/22/2009,Minor Injury,12
01/23/2009,Major Injury,2
01/23/2009,Minor Injury,13
01/23/2009,Property Damage Only,127
01/23/2009,Possible/Unknown,23
01/24/2009,Fatal,1
01/24/2009,Minor Injury,9
01/24/2009,Property Damage Only,103
01/24/2009,Possible/Unknown,14
01/24/2009,Major Injury,3
01/25/2009,Property Damage Only,173
01/25/2009,Possible/Unknown,20
01/25/2009,Minor Injury,9
01/26/2009,Minor Injury,11
01/26/2009,Major Injury,1
01/26/2009,Possible/Unknown,23
01/26/2009,Property Damage Only,125
01/27/2009,Minor Injury,7
01/27/2009,Fatal,2
01/27/2009,Major Injury,2
01/27/2009,Possible/Unknown,26
01/27/2009,Property Damage Only,125
01/28/2009,Minor Injury,10
01/28/2009,Major Injury,3
01/28/2009,Fatal,1
01/28/2009,Property Damage Only,128
01/28/2009,Possible/Unknown,22
01/29/2009,Property Damage Only,162
01/29/2009,Possible/Unknown,43
01/29/2009,Minor Injury,21
01/29/2009,Fatal,2
01/29/2009,Major Injury,4
01/30/2009,Major Injury,1
01/30/2009,Property Damage Only,147
01/30/2009,Fatal,1
01/30/2009,Minor Injury,15
01/30/2009,Possible/Unknown,22
01/31/2009,Property Damage Only,112
01/31/2009,Minor Injury,13
01/31/2009,Major Injury,2
01/31/2009,Possible/Unknown,18
02/01/2009,Possible/Unknown,14
02/01/2009,Property Damage Only,68
02/01/2009,Minor Injury,15
02/01/2009,Major Injury,1
02/02/2009,Fatal,1
02/02/2009,Possible/Unknown,7
02/02/2009,Minor Injury,11
02/02/2009,Property Damage Only,91
02/03/2009,Minor Injury,9
02/03/2009,Major Injury,2
02/03/2009,Property Damage Only,108
02/03/2009,Possible/Unknown,22
02/04/2009,Property Damage Only,89
02/04/2009,Fatal,1
02/04/2009,Possible/Unknown,19
02/04/2009,Minor Injury,8
02/05/2009,Possible/Unknown,13
02/05/2009,Major Injury,2
02/05/2009,Property Damage Only,90
02/05/2009,Minor Injury,14
02/06/2009,Major Injury,4
02/06/2009,Minor Injury,13
02/06/2009,Property Damage Only,145
02/06/2009,Possible/Unknown,23
02/07/2009,Major Injury,4
02/07/2009,Minor Injury,8
02/07/2009,Property Damage Only,114
02/07/2009,Possible/Unknown,23
02/08/2009,Possible/Unknown,10
02/08/2009,Minor Injury,3
02/08/2009,Major Injury,3
02/08/2009,Property Damage Only,64
02/09/2009,Property Damage Only,105
02/09/2009,Possible/Unknown,14
02/09/2009,Major Injury,2
02/09/2009,Minor Injury,8
02/10/2009,Property Damage Only,94
02/10/2009,Minor Injury,9
02/10/2009,Major Injury,1
02/10/2009,Fatal,1
02/10/2009,Possible/Unknown,14
02/11/2009,Property Damage Only,65
02/11/2009,Possible/Unknown,17
02/11/2009,Major Injury,5
02/11/2009,Minor Injury,4
02/12/2009,Major Injury,1
02/12/2009,Minor Injury,10
02/12/2009,Property Damage Only,90
02/12/2009,Possible/Unknown,23
02/13/2009,Property Damage Only,448
02/13/2009,Minor Injury,39
02/13/2009,Fatal,3
02/13/2009,Major Injury,7
02/13/2009,Possible/Unknown,89
02/14/2009,Fatal,1
02/14/2009,Major Injury,5
02/14/2009,Minor Injury,7
02/14/2009,Property Damage Only,112
02/14/2009,Possible/Unknown,35
02/15/2009,Fatal,1
02/15/2009,Property Damage Only,60
02/15/2009,Minor Injury,11
02/15/2009,Major Injury,1
02/15/2009,Possible/Unknown,12
02/16/2009,Major Injury,4
02/16/2009,Fatal,1
02/16/2009,Minor Injury,6
02/16/2009,Property Damage Only,77
02/16/2009,Possible/Unknown,12
02/17/2009,Possible/Unknown,22
02/17/2009,Minor Injury,9
02/17/2009,Property Damage Only,71
02/17/2009,Major Injury,2
02/18/2009,Major Injury,3
02/18/2009,Possible/Unknown,15
02/18/2009,Minor Injury,4
02/18/2009,Property Damage Only,61
02/19/2009,Possible/Unknown,20
02/19/2009,Major Injury,2
02/19/2009,Property Damage Only,89
02/19/2009,Minor Injury,9
02/20/2009,Possible/Unknown,24
02/20/2009,Major Injury,4
02/20/2009,Property Damage Only,134
02/20/2009,Minor Injury,12
02/21/2009,Minor Injury,16
02/21/2009,Property Damage Only,142
02/21/2009,Fatal,3
02/21/2009,Major Injury,7
02/21/2009,Possible/Unknown,26
02/22/2009,Possible/Unknown,17
02/22/2009,Property Damage Only,68
02/22/2009,Major Injury,2
02/22/2009,Fatal,1
02/22/2009,Minor Injury,11
02/23/2009,Minor Injury,6
02/23/2009,Major Injury,2
02/23/2009,Property Damage Only,79
